Name,Appearances,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Assists,Passes,Passes per match,Big chances created,Accurate long balls,Through balls,Crosses,Cross accuracy %,Tackles,Tackle success %,Interceptions,Blocked shots,Clearances,Recoveries,Duels won,Successful 50/50s,Aerial battles won,Errors leading to goal,Fouls,Yellow cards,Red cards
Rhian Brewster,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Divock Origi,91,19,0.21,89,39,44,6,861,9.46,3,236.3481894,14.35622318,68,20.99009901,34,63.59752322,7,22,9,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,47,1,1.495652174
Ben Woodburn,6,13.19873817,6,2,45.628,2,9.090361446,40,6.67,12.24477612,236.3481894,14.35622318,5,20,4,75,89.74447174,2,173.8312958,6,7,1,1,2.790055249,2,11.86614173,1.495652174
Diogo Jota,67,16,0.24,127,50,39,6,1585,23.66,13,236.3481894,14.35622318,74,20.99009901,56,63.59752322,22,35,20,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,84,15,1.495652174
Ederson,110,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,2781,25.28,12.24477612,405,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,5,4,6,1
Scott Carson,145,13.19873817,2.922714286,119.5245283,45.628,33.44150943,2,2722,18.77,12.24477612,832,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,10,4,6,1
Zack Steffen,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Nathan Aké,147,12,2.922714286,119.5245283,45.628,33.44150943,6,5634,38.33,9,260,3,61,20,255,63,206,20,757,634,661,29,314,2.790055249,97,15,1
Kyle Walker,293,7,2.922714286,119.5245283,45.628,33.44150943,29,15694,53.56,25,900,29,748,17,600,76,498,55,820,1592,1510,239,446,6,239,45,1
John Stones,163,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,8950,54.91,5,587,2,18,28,180,74,191,7,601,717,664,96,330,7,45,7,1.495652174
Oleksandr Zinchenko,41,13.19873817,41,28,6,21,3,3066,74.78,5,86,3,101,20,88,63,43,11,42,188,173,11,66,2,35,2,1
Aymeric Laporte,59,4,2.922714286,119.5245283,45.628,33.44150943,3,4957,84.02,1,274,1,8,13,63,52,70,7,147,342,226,8,127,2.790055249,40,5,1.495652174
Benjamin Mendy,37,13.19873817,2.922714286,119.5245283,45.628,33.44150943,8,1999,54.03,7,53,2,176,23,40,75,35,11,43,175,104,32,28,2,32,7,1.495652174
João Cancelo,17,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1010,59.41,6,38,14.35622318,47,15,40,60,21,3,16,99,104,37,19,2.790055249,17,4,1.495652174
Nicolás Otamendi,136,8,2.922714286,119.5245283,45.628,33.44150943,1,9366,68.87,3,432,8,7,14,269,68,286,21,649,707,766,32,388,5,118,31,1.495652174
Eric García,13,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,728,56,12.24477612,26,14.35622318,1,100,6,17,18,27.512,31,38,25,6,11,2.790055249,9,1,1.495652174
Patrick Roberts,6,13.19873817,6,119.5245283,45.628,33.44150943,9.090361446,30,5,12.24477612,2,14.35622318,153.01,20.99009901,1,100,89.74447174,27.512,173.8312958,2,10,6,123.5111111,2.790055249,2,1,1.495652174
Ilkay Gündogan,102,15,0.15,127,34,27,6,5854,57.39,12,224,36,143,29,83,60,84,47,45,462,262,74,43,2.790055249,45,13,1.495652174
Rodrigo,36,3,0.08,25,9,36,2,2673,74.25,3,174,2,8,25,53,58,27,4,32,235,177,33,59,2.790055249,45,9,1.495652174
Kevin De Bruyne,156,37,0.24,367,133,36,67,8407,53.89,97,436,131,1109,26,214,68,88,97,59,758,633,221,64,1,122,14,1.495652174
Bernardo Silva,105,19,0.18,139,51,37,18,4015,38.24,21,132,13,192,20,115,65,59,50,46,366,334,118,30,2.790055249,63,8,1.495652174
Fernandinho,225,18,0.08,217,63,29,16,14806,65.8,24,650,75,69,22,549,70,353,50,415,1300,1338,184,427,2.790055249,324,46,4
Phil Foden,42,7,0.17,50,22,44,3,819,19.5,3,21,7,38,24,25,76,10,11,4,52,99,40,13,2.790055249,17,11.86614173,1.495652174
Tommy Doyle,1,13.19873817,1,1,1,100,9.090361446,20,20,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,1,1,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Adrián Bernabé,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ferran Torres,1,13.19873817,1,119.5245283,45.628,33.44150943,9.090361446,1,1,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Raheem Sterling,260,86,0.33,545,222,41,45,8317,31.99,61,236.3481894,14.35622318,514,20.99009901,256,63.59752322,125,155,52,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,297,28,1
Gabriel Jesus,103,42,0.41,227,122,54,17,1830,17.77,16,236.3481894,14.35622318,14,20.99009901,56,63.59752322,25,38,17,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,79,13,1.495652174
Sergio Agüero,263,180,0.68,996,411,41,46,6134,23.32,59,236.3481894,14.35622318,176,20.99009901,150,63.59752322,73,230,14,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,167,23,1
Riyad Mahrez,199,57,0.29,426,185,43,40,6019,30.25,80,236.3481894,14.35622318,741,20.99009901,211,63.59752322,141,125,50,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,117,7,1.495652174
Liam Delap,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
David de Gea,314,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,7009,22.32,12.24477612,1943,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,13,1,6,1.495652174
Lee Grant,31,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,959,30.94,12.24477612,365,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,1,1.495652174
Sergio Romero,7,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,181,25.86,12.24477612,54,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Dean Henderson,36,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,934,25.94,12.24477612,265,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,2,1.495652174
Victor Lindelöf,83,2,2.922714286,119.5245283,45.628,33.44150943,1,4419,53.24,5,172,3,4,4,86,62,63,5,311,461,319,16,188,1,53,8,1.495652174
Eric Bailly,54,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1682,31.15,12.24477612,100,1,2,2,92,67,102,3,226,281,229,23,75,2.790055249,45,6,1
Phil Jones,200,2,2.922714286,119.5245283,45.628,33.44150943,6,7835,39.18,11,485,13,137,20,394,73,404,19,1073,872,1051,75,407,1,155,27,1.495652174
Harry Maguire,140,8,2.922714286,119.5245283,45.628,33.44150943,7,7325,52.32,9,646,6,34,15,191,69,233,23,639,871,895,107,494,1,117,26,1
Chris Smalling,219,12,2.922714286,119.5245283,45.628,33.44150943,2,8092,36.95,3,517,7,63,35,283,68,360,32,1287,897,1082,59,645,3,192,18,1
Marcos Rojo,76,1,2.922714286,119.5245283,45.628,33.44150943,1,3503,46.09,1,238,2,83,22,140,71,130,14,383,358,351,26,154,1,81,23,1.495652174
Diogo Dalot,20,13.19873817,2.922714286,119.5245283,45.628,33.44150943,2,474,23.7,5,10,14.35622318,53,26,27,52,12,5,31,58,65,11,25,2.790055249,13,3,1.495652174
Luke Shaw,157,1,2.922714286,119.5245283,45.628,33.44150943,7,6663,42.44,14,171,9,425,21,275,73,167,31,464,681,821,163,261,1,138,29,1
Timothy Fosu-Mensah,49,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,1316,26.86,2,59,2,40,23,80,69,65,5,110,175,151,24,31,1,36,8,1.495652174
Aaron Wan-Bissaka,77,13.19873817,2.922714286,119.5245283,45.628,33.44150943,7,3019,39.21,8,72,3,179,17,287,66,165,7,221,423,529,128,76,2.790055249,46,13,1
Axel Tuanzebe,10,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,279,27.9,12.24477612,6,14.35622318,1,1,11,64,12,1,12,28,24,1,5,1,9,11.86614173,1.495652174
Brandon Williams,17,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,551,32.41,12.24477612,16,1,12,25,21,71,16,1,14,68,62,16,10,2.790055249,13,6,1.495652174
Teden Mengi,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Paul Pogba,112,25,0.22,301,110,37,26,7139,63.74,21,547,68,105,14,157,67,83,81,116,718,824,239,224,1,190,19,1
Juan Mata,262,51,0.19,362,133,37,52,11379,43.43,68,641,89,1099,24,196,71,132,99,63,1084,616,173,22,1,134,19,1
Jesse Lingard,133,18,0.14,178,69,39,10,3536,26.59,18,59,30,121,16,130,68,52,53,34,336,358,96,19,2.790055249,140,15,1.495652174
Andreas Pereira,45,2,0.04,45,16,36,4,1111,24.69,8,42,3,88,19,34,62,20,14,12,140,101,32,13,1,42,10,1.495652174
Fred,46,1,0.02,57,12,21,1,2437,52.98,4,170,6,76,25,89,55,54,13,35,339,205,50,12,1,67,10,1.495652174
Bruno Fernandes,15,8,0.53,47,19,40,7,871,58.07,3,52,8,87,21,24,54,11,9,14,75,57,15,3,2.790055249,10,2,1.495652174
Daniel James,34,3,0.09,43,20,47,6,722,21.24,6,13,4,100,15,22,50,7,11,6,94,111,27,8,2.790055249,14,4,1.495652174
Nemanja Matic,208,6,0.03,134,35,26,19,12463,59.92,11,741,26,92,20,491,69,337,46,406,1583,1196,235,343,1,234,36,3
Scott McTominay,59,6,0.1,48,17,35,1,1926,32.64,2,94,4,22,18,69,64,62,17,62,259,288,38,94,1,59,6,1.495652174
Donny van de Beek,1,1,1,1,1,100,9.090361446,22,22,12.24477612,236.3481894,14.35622318,153.01,20.99009901,1,1,89.74447174,27.512,173.8312958,1,1,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Anthony Martial,146,51,0.35,268,122,46,23,3712,25.42,35,236.3481894,14.35622318,200,20.99009901,77,63.59752322,29,72,56,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,125,8,1.495652174
Marcus Rashford,143,44,0.31,301,130,43,21,2979,20.83,27,236.3481894,14.35622318,258,20.99009901,74,63.59752322,35,75,70,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,90,12,1
Odion Ighalo,67,16,0.24,153,62,41,4,1045,15.6,1,236.3481894,14.35622318,20,20.99009901,39,63.59752322,18,36,30,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,65,5,1.495652174
Mason Greenwood,35,10,0.29,49,24,49,1,577,16.49,1,236.3481894,14.35622318,12,20.99009901,20,63.59752322,6,9,6,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,12,11.86614173,1.495652174
Mark Gillespie,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Martin Dubravka,88,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2318,26.34,12.24477612,653,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,9,70.25986079,1,1.495652174
Karl Darlow,21,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,554,26.38,12.24477612,171,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,11.86614173,1.495652174
Daniel Langley,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ciaran Clark,179,14,2.922714286,119.5245283,45.628,33.44150943,5,5675,31.7,10,371,2,41,20,306,74,304,18,1256,683,872,48,420,4,171,47,2
Paul Dummett,128,2,2.922714286,119.5245283,45.628,33.44150943,9.090361446,3814,29.8,4,229,1,202,19,216,75,177,10,606,387,590,21,305,2,58,12,1
Fabian Schär,46,6,2.922714286,119.5245283,45.628,33.44150943,1,1755,38.15,1,228,5,29,10,99,61,114,7,209,225,268,30,99,2,57,17,1.495652174
Jamaal Lascelles,109,6,2.922714286,119.5245283,45.628,33.44150943,1,3699,33.94,2,237,2,5,5,90,54,123,3,645,546,489,15,343,4,69,16,1
Emil Krafth,17,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,329,19.35,1,10,14.35622318,20,5,18,67,8,1,40,43,36,4,8,2.790055249,4,11.86614173,1.495652174
Federico Fernández,170,4,2.922714286,119.5245283,45.628,33.44150943,7,7218,42.46,5,523,2,48,19,254,73,305,13,1070,756,777,24,399,3,135,25,1.495652174
Javier Manquillo,92,1,2.922714286,119.5245283,45.628,33.44150943,5,2235,24.29,4,79,1,168,14,171,67,100,2,221,310,359,47,88,2.790055249,72,15,1.495652174
DeAndre Yedlin,103,2,2.922714286,119.5245283,45.628,33.44150943,5,2500,24.27,6,90,3,219,23,169,64,107,5,269,385,398,60,109,2.790055249,102,16,1
Jamal Lewis,30,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1101,36.7,1,33,1,48,25,53,70,27,2,57,150,122,34,9,2.790055249,16,5,1.495652174
Jacob Murphy,34,1,0.03,24,8,33,2,325,9.56,4,11,1,56,18,19,63,7,7,15,97,76,37,11,2.790055249,12,11.86614173,1.495652174
Jonjo Shelvey,215,20,0.09,374,114,30,23,8878,41.29,30,976,67,610,24,261,71,198,105,175,1111,573,135,109,3,178,33,4
Matt Ritchie,128,11,0.09,206,51,25,20,4121,32.2,27,222,16,753,25,193,68,150,76,173,637,507,58,113,1,159,24,1.495652174
Isaac Hayden,82,3,0.04,55,17,31,6,2149,26.21,9,69,6,66,24,171,56,104,20,102,316,424,45,161,2.790055249,92,15,2
Miguel Almirón,48,4,0.08,76,25,33,3,1098,22.88,4,28,3,65,25,81,63,39,25,20,256,222,53,11,2.790055249,37,5,1.495652174
Christian Atsu,80,3,0.04,72,28,39,6,1096,13.7,12,24,8,117,19,52,77,26,17,41,245,217,73,32,2.790055249,34,5,1.495652174
Sean Longstaff,33,2,0.06,33,9,27,1,925,28.03,3,64,1,36,28,52,62,29,10,28,119,123,12,26,1,24,4,1
Matthew Longstaff,9,2,0.22,4,2,50,9.090361446,255,28.33,1,10,1,2,50,3,33,5,1,3,38,17,3,6,2.790055249,6,1,1.495652174
Jeff Hendrick,124,10,0.08,99,25,25,6,3063,24.7,7,134,10,95,20,91,55,80,38,93,510,349,84,94,2.790055249,97,19,1
Ryan Fraser,121,16,0.13,132,61,46,26,3469,28.67,41,94,16,711,23,57,65,67,38,80,413,364,66,31,2.790055249,40,7,1.495652174
Henri Saivet,5,1,0.2,1,1,100,9.090361446,106,21.2,12.24477612,4,14.35622318,2,2,18,67,9,27.512,10,24,23,1,3,1,1,11.86614173,1.495652174
Daniel Barlaser,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Andy Carroll,232,53,0.23,534,172,32,22,4726,20.37,28,236.3481894,14.35622318,114,20.99009901,103,63.59752322,74,107,323,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,321,33,2
Joelinton,40,2,0.05,51,15,29,2,836,20.9,3,236.3481894,14.35622318,6,20.99009901,36,63.59752322,11,13,31,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,32,7,1.495652174
Allan Saint-Maximin,28,3,0.11,47,21,45,4,458,16.36,8,236.3481894,14.35622318,46,20.99009901,15,63.59752322,9,14,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,19,11.86614173,1.495652174
Dwight Gayle,119,25,0.21,160,59,37,6,1201,10.09,6,236.3481894,14.35622318,64,20.99009901,61,63.59752322,26,41,41,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,77,8,1
Callum Wilson,128,42,0.33,226,91,40,12,1694,13.23,21,236.3481894,14.35622318,78,20.99009901,41,63.59752322,19,47,48,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,177,13,1.495652174
Wes Foderingham,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Michael Verrips,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Simon Moore,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,44,22,12.24477612,10,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,11.86614173,1.495652174
Aaron Ramsdale,39,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,1000,25.64,12.24477612,220,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,11.86614173,1.495652174
George Baldock,40,2,2.922714286,119.5245283,45.628,33.44150943,3,1178,29.45,3,22,14.35622318,136,27,64,69,36,4,70,177,192,42,41,1,52,7,1.495652174
Enda Stevens,47,2,2.922714286,119.5245283,45.628,33.44150943,4,1670,35.53,9,82,2,135,18,98,57,48,7,96,253,228,67,39,2,46,8,1.495652174
Jack O'Connell,35,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,1634,46.69,6,129,1,52,21,26,58,44,3,151,192,190,9,140,1,22,4,1.495652174
Chris Basham,61,1,2.922714286,119.5245283,45.628,33.44150943,3,1656,27.15,2,97,14.35622318,65,12,126,62,93,27.512,215,246,324,30,129,1,39,5,1.495652174
John Egan,38,2,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1340,35.26,1,114,14.35622318,3,3,46,61,58,14,168,181,204,1,138,1,37,4,2
Jack Robinson,9,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,291,32.33,12.24477612,15,14.35622318,7,14,14,43,10,27.512,28,37,35,3,14,2.790055249,5,1,1.495652174
Kean Bryan,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Phil Jagielka,366,18,2.922714286,119.5245283,45.628,33.44150943,9,14775,40.37,8,1830,11,131,30,703,76,618,39,2974,1626,1842,35,783,6,159,23,2
Max Lowe,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ethan Ampadu,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,28,14,12.24477612,1,14.35622318,153.01,20.99009901,2,100,89.74447174,27.512,9,1,4,1,1,2.790055249,70.25986079,11.86614173,1.495652174
Jayden Bogle,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
John Fleck,32,5,0.16,32,11,34,2,1047,32.72,5,38,3,158,23,39,72,26,12,22,177,120,46,14,2.790055249,27,8,1.495652174
John Lundstram,36,5,0.14,44,11,25,3,1247,34.64,8,90,3,75,15,47,66,34,10,44,165,105,19,26,2.790055249,30,6,1.495652174
Oliver Norwood,39,1,0.03,17,6,35,1,2062,52.87,6,239,1,205,27,66,56,49,5,40,280,136,9,45,2.790055249,32,8,1.495652174
Ben Osborn,14,13.19873817,14,3,1,33,9.090361446,244,17.43,1,8,14.35622318,18,22,15,67,6,1,6,45,31,4,6,2.790055249,9,11.86614173,1.495652174
Sander Berge,16,1,0.06,7,2,29,1,412,25.75,1,14,14.35622318,23,13,24,71,11,2,16,62,85,16,38,2.790055249,19,11.86614173,1.495652174
Jack Rodwell,167,10,0.06,210,58,28,4,3881,23.24,2,271,11,67,13,212,78,113,63,227,482,470,49,148,2,135,26,1
Regan Slater,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Oliver Burke,16,13.19873817,16,4,45.628,4,2,149,9.31,1,3,1,9,22,6,67,7,2,2,15,34,13,8,2.790055249,5,11.86614173,1.495652174
Zak Brunt,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Oliver McBurnie,54,6,0.11,60,31,52,1,785,14.54,3,236.3481894,14.35622318,15,20.99009901,45,63.59752322,17,8,45,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,35,5,1.495652174
Billy Sharp,28,3,0.11,17,7,41,2,233,8.32,5,236.3481894,14.35622318,13,20.99009901,7,63.59752322,1,3,3,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,20,1,1
David McGoldrick,30,2,0.07,47,20,43,2,636,21.2,4,236.3481894,14.35622318,10,20.99009901,41,63.59752322,3,9,24,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,33,2,1.495652174
Lys Mousset,88,9,0.1,81,24,30,4,585,6.65,9,236.3481894,14.35622318,19,20.99009901,25,63.59752322,8,25,17,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,48,3,1.495652174
Alex McCarthy,96,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2325,24.22,12.24477612,628,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,8,1,3,1.495652174
Angus Gunn,22,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,520,23.64,12.24477612,117,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,3,70.25986079,11.86614173,1.495652174
Fraser Forster,107,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2515,23.5,12.24477612,773,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,7,70.25986079,4,1.495652174
Harry Lewis,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Jannik Vestergaard,43,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1709,39.74,3,98,3,2,50,74,64,62,5,273,208,280,14,169,1,27,5,1.495652174
Jack Stephens,93,4,2.922714286,119.5245283,45.628,33.44150943,4,3850,41.4,3,237,5,20,10,123,63,136,4,396,513,381,37,185,1,55,16,2
Ryan Bertrand,231,7,2.922714286,119.5245283,45.628,33.44150943,15,8783,38.02,29,309,9,817,21,338,68,331,34,396,897,987,104,322,2.790055249,211,31,2
Jake Vokins,1,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,58,58,12.24477612,3,14.35622318,1,1,2,100,89.74447174,27.512,1,1,3,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Jan Bednarek,66,2,2.922714286,119.5245283,45.628,33.44150943,2,2655,40.23,2,140,3,2,2,113,58,154,3,390,327,351,4,217,3,58,12,1.495652174
Yan Valery,34,2,2.922714286,119.5245283,45.628,33.44150943,1,621,18.26,2,20,1,66,14,62,69,35,2,86,121,176,38,62,3,34,4,1
Kyle Walker-Peters,24,13.19873817,2.922714286,119.5245283,45.628,33.44150943,6,925,38.54,5,22,14.35622318,38,21,41,66,28,2,36,116,137,37,17,2.790055249,14,3,1.495652174
Mohammed Salisu,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Moussa Djenepo,20,2,0.1,22,8,36,2,266,13.3,3,5,1,21,19,28,75,10,4,9,52,117,49,6,2.790055249,26,4,1
