Name,Appearances,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Assists,Passes,Passes per match,Big chances created,Accurate long balls,Through balls,Crosses,Cross accuracy %,Tackles,Tackle success %,Interceptions,Blocked shots,Clearances,Recoveries,Duels won,Successful 50/50s,Aerial battles won,Errors leading to goal,Fouls,Yellow cards,Red cards
Ivan Cavaleiro,25,3,0.12,13,4,31,1,357,14.28,2,236.3481894,14.35622318,59,20.99009901,6,63.59752322,7,2,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,15,1,1.495652174
Aboubakar Kamara,15,3,0.2,22,10,45,9.090361446,262,17.47,1,236.3481894,14.35622318,20,20.99009901,8,63.59752322,1,27.512,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,26,2,1.495652174
Kiko Casilla,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Elia Caprile,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Luke Ayling,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,108,54,12.24477612,9,1,3,3,10,60,89.74447174,27.512,4,9,17,5,1,2.790055249,1,11.86614173,1.495652174
Barry Douglas,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Liam Cooper,3,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,70,23.33,12.24477612,8,14.35622318,153.01,20.99009901,3,100,6,27.512,23,9,14,2,7,2.790055249,1,11.86614173,1.495652174
Pascal Struijk,1,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,59,59,12.24477612,8,14.35622318,153.01,20.99009901,4,25,3,27.512,11,4,5,61.37060703,1,2.790055249,70.25986079,11.86614173,1.495652174
Leif Davis,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Robin Koch,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,107,53.5,12.24477612,4,14.35622318,153.01,20.99009901,5,80,2,1,5,10,17,61.37060703,10,2.790055249,3,11.86614173,1.495652174
Oliver Casey,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
