Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Tyrone Mings,5.0,England,27.0,0.09293680297397769,13,27,0.00558659217877095,,0.0,0.0,2.0,,,119.5245283018868,,,0.0,,7.0,78.0,30.0,83%,1.0,1.0,49.0,253.0,111.0,3.0,270.0,162.0,113.0,18.0,96.0,69.0,2.0,2.0,0.02409638554216868,0.10930790251519715,38.45,2.0,10.0,40%,0.0,155.0,,,,,,,,,8,0,30,2.0,1,0
Matthew Cash,2.0,England,23.0,0.0,1,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,1.0,0.0,1.0,1%,0.0,2.0,2.0,4.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.09747423428654378,0.0030673135909876754,56.0,0.0,6.0,33%,0.0,3.0,,,,,,,,,1,0,0,0.0,1,0
Douglas Luiz,6.0,Brazil,22.0,0.06691449814126393,10,20,0.011173184357541898,0.08,0.0,2.0,1.0,0.0,0.0,41.0,13.0,32%,0.0,2.0,,,46.0,52%,,17.0,36.0,47.0,18.0,,211.0,150.0,163.0,36.0,31.0,36.0,,1.0,0.012048192771084338,0.07244437008532709,35.14,3.0,25.0,24%,4.0,100.0,,,,,,,,,8,0,51,0.0,1,3
John McGinn,7.0,Scotland,25.0,0.05204460966542751,7,15,0.011173184357541898,0.1,0.0,0.0,3.0,0.0,0.0,57.0,20.0,35%,2.0,4.0,,,53.0,66%,,12.0,26.0,15.0,6.0,,157.0,193.0,185.0,53.0,19.0,35.0,,0.0,0.02409638554216868,0.042273158217611954,26.17,3.0,67.0,21%,3.0,85.0,,,,,,,,,4,0,38,0.0,1,3
Henri Lansbury,8.0,England,29.0,0.022304832713754646,4,8,0.06814937525333523,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3%,0.0,0.0,,,7.0,43%,,1.0,1.0,2.0,0.0,,14.0,10.0,16.0,0.0,2.0,6.0,,0.0,0.09747423428654378,0.00635770453404718,8.85,0.0,2.0,50%,0.0,11.0,,,,,,,,,1,0,5,1.0,1,3
Jack Grealish,10.0,England,25.0,0.13011152416356875,17,42,0.0446927374301676,0.13,0.0,6.0,3.0,0.0,0.0,105.0,32.0,30%,2.0,6.0,,,45.0,71%,,33.0,44.0,17.0,6.0,,293.0,419.0,293.0,122.0,29.0,42.0,,1.0,0.07228915662650603,0.11694830182365736,29.55,12.0,202.0,23%,2.0,103.0,,,,,,,,,9,0,47,6.0,1,3
Marvelous Nakamba,19.0,Zimbabwe,26.0,0.05204460966542751,7,16,0.06814937525333523,29.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14%,0.0,0.0,,,55.0,51%,,0.0,39.0,32.0,7.0,,155.0,115.0,110.0,14.0,23.0,29.0,,1.0,0.09747423428654378,0.04355585299202498,26.97,0.0,4.0,4%,0.0,24.0,,,,,,,,,5,0,26,0.0,1,3
Conor Hourihane,14.0,Ireland,29.0,0.05018587360594796,8,13,0.011173184357541898,0.11,0.0,0.0,3.0,0.0,1.0,30.0,10.0,33%,1.0,1.0,,,16.0,63%,,13.0,9.0,27.0,10.0,,73.0,54.0,50.0,4.0,14.0,9.0,,0.0,0.04819277108433735,0.03703084044392393,23.75,8.0,124.0,24%,1.0,22.0,,,,,,,,,4,0,15,4.0,1,3
Trézéguet,17.0,Egypt,25.0,0.06319702602230483,9,19,0.027932960893854747,0.17,0.0,5.0,1.0,0.0,0.0,52.0,17.0,33%,2.0,3.0,,,40.0,45%,,22.0,27.0,14.0,9.0,,80.0,134.0,175.0,30.0,32.0,48.0,,0.0,0.0,0.02158273381294964,11.09,0.0,73.0,16%,0.0,10.0,,,,,,,,,2,1,39,6.0,1,3
Anwar El Ghazi,21.0,Netherlands,25.0,0.061338289962825275,7,19,0.01675977653631285,0.12,0.0,4.0,0.0,1.0,0.0,52.0,20.0,38%,2.0,7.0,,,20.0,55%,,11.0,13.0,12.0,6.0,,75.0,97.0,151.0,29.0,31.0,57.0,,0.0,0.03614457831325302,0.026657743572583794,14.09,4.0,107.0,24%,1.0,15.0,,,,,,,,,3,0,20,12.0,1,3
