Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Jeffrey Schlupp,15.0,Ghana,27.0,148.0,56,61,-0.14220189783850612,,1.0,3.0,7.0,,,1.3941664213081824e-16,,,0.0,,17.0,153.0,278.0,70%,0.0,43.0,177.0,217.0,117.0,0.0,585.0,773.0,757.0,173.0,211.0,261.0,1.0,1.0,8.0,0.13806110454893497,21.32,10.0,199.0,19%,4.0,163.0,,,,,,,,,15,0,109,3.0,5,3
James McArthur,18.0,Scotland,32.0,282.0,93,126,0.633889952057731,0.08,6.0,10.0,7.0,0.0,0.0,0.926858608566731,64.0,30%,3.0,12.0,,,613.0,72%,,68.0,398.0,312.0,108.0,,1448.0,1304.0,1452.0,155.0,314.0,385.0,,0.0,18.0,2.4773087280817143,35.73,21.0,137.0,18%,32.0,570.0,,,,,,,,,45,0,370,13.0,5,3
James McCarthy,22.0,Ireland,29.0,258.0,87,102,-0.012853256189133242,0.05,0.0,10.0,3.0,0.0,0.0,0.5736779436950816,47.0,26%,4.0,8.0,,,674.0,73%,,65.0,421.0,366.0,124.0,,1284.0,1190.0,1014.0,123.0,148.0,167.0,,3.0,12.0,2.7355724830497845,42.02,8.0,188.0,28%,23.0,835.0,,,,,,,,,48,1,309,2.0,5,3
Jairo Riedewald,44.0,Netherlands,24.0,29.0,8,13,1.148846721304978e-16,29.0,0.0,0.0,0.0,0.0,0.0,-1.1333619365178902,0.0,4%,0.0,0.0,,,25.0,72%,,2.0,29.0,31.0,14.0,,70.0,45.0,33.0,11.0,7.0,8.0,,0.0,9.090361445783133,-0.7651859547111209,16.69,0.0,8.0,38%,1.0,29.0,,,,,,,,,0,0,6,0.0,5,3
Eberechi Eze,25.0,England,22.0,2.0,2,0,1.148846721304978e-16,2.0,0.0,0.0,0.0,0.0,0.0,1.3941664213081824e-16,0.0,0%,0.0,0.0,,,2.0,100%,,0.0,0.0,0.0,0.0,,5.0,4.0,8.0,2.0,0.0,1.0,,0.0,9.090361445783133,-0.9240654898354571,7.0,0.0,3.0,67%,0.0,0.0,,,,,,,,,0,0,0,0.0,5,3
Nya Kirby,37.0,England,20.0,81.7006237006237,0,0,1.148846721304978e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3941664213081824e-16,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,5,3
Jordan Ayew,9.0,Ghana,29.0,139.0,37,71,0.7632385937071039,0.18,4.0,17.0,4.0,2.0,0.0,1.0445854968572807,78.0,35%,8.0,13.0,,,226.0,,,73.0,76.0,55.0,34.0,,,,,,,,,,9.0,0.0745092904992005,21.35,12.0,147.0,,,,,,,,,,,,18,2,222,44.0,5,1
Wilfried Zaha,11.0,Cote D'Ivoire,27.0,217.0,70,94,1.668679085252714,0.18,1.0,31.0,7.0,1.0,0.0,2.1237486395206537,119.0,35%,7.0,32.0,,,294.0,,,106.0,123.0,32.0,8.0,,,,,,,,,,24.0,0.6109812527169058,20.99,36.0,537.0,,,,,,,,,,,,33,1,287,79.0,5,1
Christian Benteke,17.0,Belgium,29.0,225.0,73,107,3.8029316724673663,0.32,26.0,37.0,9.0,10.0,1.0,4.1643480365568495,208.0,38%,14.0,82.0,,,80.0,,,117.0,26.0,214.0,148.0,,,,,,,,,,20.0,0.9865454304257091,25.18,31.0,36.0,,,,,,,,,,,,35,3,357,203.0,5,1
Connor Wickham,21.0,England,27.0,120.0,29,59,0.3751926687589853,0.16,4.0,10.0,5.0,1.0,0.0,0.6815942579614189,59.0,31%,6.0,12.0,,,93.0,,,56.0,53.0,109.0,63.0,,,,,,,,,,7.0,-0.25170081885183015,16.69,5.0,112.0,,,,,,,,,,,,11,0,147,26.0,5,1
