Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
John Stones,5.0,England,26.0,163.0,90,39,1.0,,1.0,0.0,0.0,,,119.52452830188679,,,1.0,,43.0,161.0,180.0,74%,4.0,7.0,191.0,601.0,338.0,4.0,717.0,664.0,316.0,96.0,330.0,172.0,0.0,7.0,9.090361445783133,8950.0,54.91,5.0,18.0,28%,2.0,587.0,,,,,,,,,7,0,45,3.0
Oleksandr Zinchenko,11.0,Ukraine,23.0,41.0,34,6,13.198738170347003,41.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,21%,0.0,0.0,,,88.0,63%,,11.0,43.0,42.0,27.0,,188.0,173.0,161.0,11.0,66.0,58.0,,2.0,3.0,3066.0,74.78,5.0,101.0,20%,3.0,86.0,,,,,,,,,2,1,35,4.0
Aymeric Laporte,14.0,France,26.0,59.0,50,6,4.0,,4.0,0.0,0.0,,,119.52452830188679,,,0.0,,25.0,31.0,63.0,52%,0.0,7.0,70.0,147.0,88.0,0.0,342.0,226.0,144.0,8.0,127.0,79.0,0.0,0.0,3.0,4957.0,84.02,1.0,8.0,13%,1.0,274.0,,,,,,,,,5,0,40,2.0
Benjamin Mendy,22.0,France,26.0,37.0,29,3,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,1.0,,11.0,21.0,40.0,75%,0.0,11.0,35.0,43.0,27.0,0.0,175.0,104.0,164.0,32.0,28.0,47.0,0.0,2.0,8.0,1999.0,54.03,7.0,176.0,23%,2.0,53.0,,,,,,,,,7,0,32,1.0
João Cancelo,27.0,Portugal,26.0,17.0,12,4,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,5.0,11.0,40.0,60%,0.0,3.0,21.0,16.0,12.0,0.0,99.0,104.0,79.0,37.0,19.0,22.0,0.0,0.0,9.090361445783133,1010.0,59.41,6.0,47.0,15%,0.0,38.0,,,,,,,,,4,0,17,0.0
Nicolás Otamendi,30.0,Argentina,32.0,136.0,94,22,8.0,,5.0,3.0,0.0,,,119.52452830188679,,,2.0,,49.0,116.0,269.0,68%,1.0,21.0,286.0,649.0,388.0,5.0,707.0,766.0,476.0,32.0,388.0,246.0,1.0,5.0,1.0,9366.0,68.87,3.0,7.0,14%,8.0,432.0,,,,,,,,,31,0,118,1.0
Eric García,50.0,Spain,19.0,13.0,11,2,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,3.0,7.0,6.0,17%,0.0,0.0,18.0,31.0,14.0,0.0,38.0,25.0,34.0,6.0,11.0,20.0,0.0,0.0,9.090361445783133,728.0,56.0,0.0,1.0,100%,0.0,26.0,,,,,,,,,1,0,9,0.0
Patrick Roberts,,England,23.0,6.0,0,6,13.198738170347003,6.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,1.0,100%,,0.0,0.0,0.0,0.0,,2.0,10.0,3.0,6.0,0.0,0.0,,0.0,9.090361445783133,30.0,5.0,0.0,0.0,0%,0.0,2.0,,,,,,,,,1,0,2,0.0
Ilkay Gündogan,8.0,Germany,29.0,102.0,75,17,15.0,0.15,2.0,10.0,3.0,2.0,1.0,127.0,34.0,27%,3.0,7.0,,,83.0,60%,,47.0,84.0,45.0,19.0,,462.0,262.0,273.0,74.0,43.0,56.0,,0.0,6.0,5854.0,57.39,12.0,143.0,29%,36.0,224.0,,,,,,,,,13,0,45,2.0
Rodrigo,16.0,Spain,24.0,36.0,25,8,3.0,0.08,1.0,2.0,0.0,0.0,0.0,25.0,9.0,36%,0.0,0.0,,,53.0,58%,,4.0,27.0,32.0,19.0,,235.0,177.0,147.0,33.0,59.0,31.0,,0.0,2.0,2673.0,74.25,3.0,8.0,25%,2.0,174.0,,,,,,,,,9,0,45,0.0
Kevin De Bruyne,17.0,Belgium,29.0,156.0,109,22,37.0,0.24,0.0,28.0,9.0,3.0,3.0,367.0,133.0,36%,20.0,13.0,,,214.0,68%,,97.0,88.0,59.0,30.0,,758.0,633.0,768.0,221.0,64.0,103.0,,1.0,67.0,8407.0,53.89,97.0,1109.0,26%,131.0,436.0,,,,,,,,,14,0,122,16.0
Bernardo Silva,20.0,Portugal,26.0,105.0,81,15,19.0,0.18,2.0,1.0,16.0,0.0,0.0,139.0,51.0,37%,3.0,17.0,,,115.0,65%,,50.0,59.0,46.0,14.0,,366.0,334.0,378.0,118.0,30.0,65.0,,0.0,18.0,4015.0,38.24,21.0,192.0,20%,13.0,132.0,,,,,,,,,8,0,63,4.0
Fernandinho,25.0,Brazil,35.0,225.0,156,36,18.0,0.08,2.0,14.0,2.0,0.0,0.0,217.0,63.0,29%,3.0,11.0,,,549.0,70%,,50.0,353.0,415.0,267.0,,1300.0,1338.0,1193.0,184.0,427.0,339.0,,0.0,16.0,14806.0,65.8,24.0,69.0,22%,75.0,650.0,,,,,,,,,46,4,324,4.0
Phil Foden,47.0,England,20.0,42.0,38,3,7.0,0.17,1.0,1.0,5.0,0.0,0.0,50.0,22.0,44%,1.0,3.0,,,25.0,76%,,11.0,10.0,4.0,1.0,,52.0,99.0,96.0,40.0,13.0,29.0,,0.0,3.0,819.0,19.5,3.0,38.0,24%,7.0,21.0,,,,,,,,,0,0,17,1.0
Tommy Doyle,69.0,England,18.0,1.0,1,0,13.198738170347003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,9.090361445783133,20.0,20.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Adrián Bernabé,82.0,Spain,19.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Ferran Torres,21.0,Spain,20.0,1.0,1,0,13.198738170347003,1.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,9.090361445783133,1.0,1.0,0.0,0.0,,,,,,,,,,,,0,0,0,0.0
Raheem Sterling,7.0,England,25.0,260.0,161,55,86.0,0.33,6.0,55.0,25.0,1.0,0.0,545.0,222.0,41%,20.0,72.0,,,256.0,,,155.0,125.0,52.0,20.0,,,,,,,,,,45.0,8317.0,31.99,61.0,514.0,,,,,,,,,,,,28,1,297,95.0
Gabriel Jesus,9.0,Brazil,23.0,103.0,80,12,42.0,0.41,8.0,22.0,12.0,2.0,0.0,227.0,122.0,54%,7.0,58.0,,,56.0,,,38.0,25.0,17.0,13.0,,,,,,,,,,17.0,1830.0,17.77,16.0,14.0,,,,,,,,,,,,13,0,79,59.0
Sergio Agüero,10.0,Argentina,32.0,263.0,177,44,180.0,0.68,18.0,127.0,34.0,26.0,0.0,996.0,411.0,41%,34.0,126.0,,,150.0,,,230.0,73.0,14.0,3.0,,,,,,,,,,46.0,6134.0,23.32,59.0,176.0,,,,,,,,,,,,23,1,167,194.0
Riyad Mahrez,26.0,Algeria,29.0,199.0,98,58,57.0,0.29,3.0,9.0,44.0,8.0,3.0,426.0,185.0,43%,10.0,28.0,,,211.0,,,125.0,141.0,50.0,22.0,,,,,,,,,,40.0,6019.0,30.25,80.0,741.0,,,,,,,,,,,,7,0,117,45.0
Liam Delap,48.0,England,17.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,9.090361445783133,2747.585416666667,0.0,0.0,0.0,,,,,,,,,,,,0,0,0,0.0
David de Gea,1.0,Spain,29.0,314.0,174,66,13.198738170347003,,,,,,,119.52452830188679,,,,,113.0,317.0,,,,,,,,,,,,,,,1.0,13.0,9.090361445783133,7009.0,22.32,,,,,1943.0,870.0,2.0,108.0,185.0,107.0,87.0,1205.0,2452.0,6,0,1,
Lee Grant,,England,37.0,31.0,10,12,13.198738170347003,,,,,,,119.52452830188679,,,,,9.0,41.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,959.0,30.94,,,,,365.0,99.0,0.0,21.0,24.0,16.0,21.0,114.0,301.0,1,0,0,
Sergio Romero,22.0,Argentina,33.0,7.0,4,1,13.198738170347003,,,,,,,119.52452830188679,,,,,6.0,2.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,181.0,25.86,,,,,54.0,20.0,1.0,1.0,10.0,2.0,5.0,39.0,38.0,0,0,0,
Dean Henderson,26.0,England,23.0,36.0,14,11,13.198738170347003,,,,,,,119.52452830188679,,,,,13.0,33.0,,,,,,,,,,,,,,,0.0,1.0,9.090361445783133,934.0,25.94,,,,,265.0,97.0,1.0,16.0,16.0,7.0,8.0,106.0,261.0,2,0,0,
Victor Lindelöf,2.0,Sweden,26.0,83.0,41,19,2.0,,1.0,0.0,1.0,,,119.52452830188679,,,0.0,,23.0,89.0,86.0,62%,1.0,5.0,63.0,311.0,161.0,0.0,461.0,319.0,191.0,16.0,188.0,117.0,2.0,1.0,1.0,4419.0,53.24,5.0,4.0,4%,3.0,172.0,,,,,,,,,8,0,53,0.0
Eric Bailly,3.0,Cote D'Ivoire,26.0,54.0,35,7,1.0,,0.0,1.0,0.0,,,119.52452830188679,,,1.0,,21.0,35.0,92.0,67%,1.0,3.0,102.0,226.0,88.0,0.0,281.0,229.0,123.0,23.0,75.0,42.0,1.0,0.0,9.090361445783133,1682.0,31.15,0.0,2.0,2%,1.0,100.0,,,,,,,,,6,1,45,0.0
Phil Jones,4.0,England,28.0,200.0,104,44,2.0,,1.0,1.0,0.0,,,119.52452830188679,,,3.0,,60.0,170.0,394.0,73%,11.0,19.0,404.0,1073.0,560.0,3.0,872.0,1051.0,608.0,75.0,407.0,237.0,2.0,1.0,6.0,7835.0,39.18,11.0,137.0,20%,13.0,485.0,,,,,,,,,27,0,155,3.0
