Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Anthony Martial,9.0,France,24.0,146.0,73,37,51.0,0.35,4.0,36.0,11.0,2.0,0.0,268.0,122.0,46%,5.0,24.0,,,77.0,,,72.0,29.0,56.0,30.0,,,,,,,,,,23.0,3712.0,25.42,35.0,200.0,,,,,,,,,,,,8,0,125,49.0
Marcus Rashford,10.0,England,22.0,143.0,76,28,44.0,0.31,4.0,35.0,5.0,6.0,1.0,301.0,130.0,43%,9.0,39.0,,,74.0,,,75.0,35.0,70.0,34.0,,,,,,,,,,21.0,2979.0,20.83,27.0,258.0,,,,,,,,,,,,12,1,90,52.0
Odion Ighalo,25.0,Nigeria,31.0,67.0,23,27,16.0,0.24,1.0,12.0,3.0,0.0,0.0,153.0,62.0,41%,3.0,25.0,,,39.0,,,36.0,18.0,30.0,16.0,,,,,,,,,,4.0,1045.0,15.6,1.0,20.0,,,,,,,,,,,,5,0,65,37.0
Mason Greenwood,11.0,England,18.0,35.0,14,10,10.0,0.29,0.0,2.0,8.0,0.0,0.0,49.0,24.0,49%,2.0,5.0,,,20.0,,,9.0,6.0,6.0,2.0,,,,,,,,,,1.0,577.0,16.49,1.0,12.0,,,,,,,,,,,,0,0,12,5.0
Mark Gillespie,29.0,England,28.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Martin Dubravka,1.0,Slovakia,31.0,88.0,29,38,13.198738170347003,,,,,,,119.52452830188679,,,,,26.0,117.0,,,,,,,,,,,,,,,0.0,9.0,9.090361445783133,2318.0,26.34,,,,,653.0,261.0,1.0,39.0,75.0,16.0,32.0,291.0,756.0,1,0,0,
Karl Darlow,26.0,England,29.0,21.0,5,8,13.198738170347003,,,,,,,119.52452830188679,,,,,6.0,29.0,,,,,,,,,,,,,,,1.0,1.0,9.090361445783133,554.0,26.38,,,,,171.0,65.0,1.0,13.0,30.0,5.0,9.0,73.0,174.0,0,0,0,
Daniel Langley,41.0,England,19.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Ciaran Clark,2.0,Ireland,30.0,179.0,45,85,14.0,,11.0,0.0,3.0,,,119.52452830188679,,,3.0,,29.0,270.0,306.0,74%,5.0,18.0,304.0,1256.0,580.0,5.0,683.0,872.0,605.0,48.0,420.0,305.0,0.0,4.0,5.0,5675.0,31.7,10.0,41.0,20%,2.0,371.0,,,,,,,,,47,2,171,2.0
Paul Dummett,3.0,Wales,28.0,128.0,42,56,2.0,,0.0,0.0,2.0,,,119.52452830188679,,,1.0,,27.0,151.0,216.0,75%,1.0,10.0,177.0,606.0,348.0,1.0,387.0,590.0,345.0,21.0,305.0,199.0,2.0,2.0,9.090361445783133,3814.0,29.8,4.0,202.0,19%,1.0,229.0,,,,,,,,,12,1,58,1.0
Fabian Schär,5.0,Switzerland,28.0,46.0,17,21,6.0,,1.0,3.0,2.0,,,119.52452830188679,,,0.0,,11.0,60.0,99.0,61%,0.0,7.0,114.0,209.0,106.0,2.0,225.0,268.0,229.0,30.0,99.0,99.0,0.0,2.0,1.0,1755.0,38.15,1.0,29.0,10%,5.0,228.0,,,,,,,,,17,0,57,3.0
Jamaal Lascelles,6.0,England,26.0,109.0,34,48,6.0,,6.0,0.0,0.0,,,119.52452830188679,,,0.0,,30.0,123.0,90.0,54%,5.0,3.0,123.0,645.0,364.0,2.0,546.0,489.0,275.0,15.0,343.0,171.0,0.0,4.0,1.0,3699.0,33.94,2.0,5.0,5%,2.0,237.0,,,,,,,,,16,1,69,3.0
Emil Krafth,17.0,Sweden,26.0,17.0,5,8,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,2.0,23.0,18.0,67%,0.0,1.0,8.0,40.0,22.0,0.0,43.0,36.0,28.0,4.0,8.0,9.0,0.0,0.0,1.0,329.0,19.35,1.0,20.0,5%,0.0,10.0,,,,,,,,,0,0,4,0.0
Federico Fernández,18.0,Argentina,31.0,170.0,55,72,4.0,,2.0,1.0,0.0,,,119.52452830188679,,,2.0,,43.0,235.0,254.0,73%,0.0,13.0,305.0,1070.0,633.0,0.0,756.0,777.0,578.0,24.0,399.0,295.0,4.0,3.0,7.0,7218.0,42.46,5.0,48.0,19%,2.0,523.0,,,,,,,,,25,0,135,8.0
Javier Manquillo,19.0,Spain,26.0,92.0,25,45,1.0,,0.0,1.0,0.0,,,119.52452830188679,,,0.0,,18.0,109.0,171.0,67%,0.0,2.0,100.0,221.0,95.0,0.0,310.0,359.0,299.0,47.0,88.0,85.0,0.0,0.0,5.0,2235.0,24.29,4.0,168.0,14%,1.0,79.0,,,,,,,,,15,0,72,11.0
DeAndre Yedlin,22.0,United States,27.0,103.0,29,48,2.0,,1.0,1.0,0.0,,,119.52452830188679,,,0.0,,19.0,121.0,169.0,64%,2.0,5.0,107.0,269.0,110.0,3.0,385.0,398.0,390.0,60.0,109.0,134.0,2.0,0.0,5.0,2500.0,24.27,6.0,219.0,23%,3.0,90.0,,,,,,,,,16,1,102,15.0
Jamal Lewis,15.0,Northern Ireland,22.0,30.0,4,24,1.0,,0.0,0.0,1.0,,,119.52452830188679,,,0.0,,3.0,59.0,53.0,70%,0.0,2.0,27.0,57.0,20.0,0.0,150.0,122.0,107.0,34.0,9.0,24.0,0.0,0.0,9.090361445783133,1101.0,36.7,1.0,48.0,25%,1.0,33.0,,,,,,,,,5,0,16,2.0
Jacob Murphy,23.0,England,25.0,34.0,6,22,1.0,0.03,0.0,1.0,0.0,0.0,0.0,24.0,8.0,33%,0.0,1.0,,,19.0,63%,,7.0,7.0,15.0,3.0,,97.0,76.0,120.0,37.0,11.0,27.0,,0.0,2.0,325.0,9.56,4.0,56.0,18%,1.0,11.0,,,,,,,,,0,0,12,1.0
Jonjo Shelvey,8.0,England,28.0,215.0,77,86,20.0,0.09,1.0,16.0,3.0,2.0,1.0,374.0,114.0,30%,12.0,17.0,,,261.0,71%,,105.0,198.0,175.0,61.0,,1111.0,573.0,609.0,135.0,109.0,101.0,,3.0,23.0,8878.0,41.29,30.0,610.0,24%,67.0,976.0,,,,,,,,,33,4,178,12.0
Matt Ritchie,11.0,Scotland,31.0,128.0,38,58,11.0,0.09,1.0,1.0,9.0,1.0,0.0,206.0,51.0,25%,5.0,7.0,,,193.0,68%,,76.0,150.0,173.0,80.0,,637.0,507.0,649.0,58.0,113.0,211.0,,1.0,20.0,4121.0,32.2,27.0,753.0,25%,16.0,222.0,,,,,,,,,24,0,159,8.0
Isaac Hayden,14.0,England,25.0,82.0,31,31,3.0,0.04,1.0,2.0,0.0,0.0,0.0,55.0,17.0,31%,0.0,2.0,,,171.0,56%,,20.0,104.0,102.0,49.0,,316.0,424.0,372.0,45.0,161.0,122.0,,0.0,6.0,2149.0,26.21,9.0,66.0,24%,6.0,69.0,,,,,,,,,15,2,92,2.0
Miguel Almirón,24.0,Paraguay,26.0,48.0,17,18,4.0,0.08,0.0,2.0,2.0,0.0,0.0,76.0,25.0,33%,2.0,11.0,,,81.0,63%,,25.0,39.0,20.0,8.0,,256.0,222.0,205.0,53.0,11.0,37.0,,0.0,3.0,1098.0,22.88,4.0,65.0,25%,3.0,28.0,,,,,,,,,5,0,37,28.0
Christian Atsu,30.0,Ghana,28.0,80.0,25,32,3.0,0.04,0.0,0.0,3.0,0.0,0.0,72.0,28.0,39%,0.0,4.0,,,52.0,77%,,17.0,26.0,41.0,17.0,,245.0,217.0,380.0,73.0,32.0,142.0,,0.0,6.0,1096.0,13.7,12.0,117.0,19%,8.0,24.0,,,,,,,,,5,0,34,14.0
Sean Longstaff,36.0,England,22.0,33.0,12,15,2.0,0.06,0.0,1.0,1.0,0.0,0.0,33.0,9.0,27%,1.0,0.0,,,52.0,62%,,10.0,29.0,28.0,8.0,,119.0,123.0,134.0,12.0,26.0,33.0,,1.0,1.0,925.0,28.03,3.0,36.0,28%,1.0,64.0,,,,,,,,,4,1,24,0.0
Matthew Longstaff,4.0,England,20.0,9.0,2,4,2.0,0.22,0.0,2.0,0.0,0.0,0.0,4.0,2.0,50%,1.0,0.0,,,3.0,33%,,1.0,5.0,3.0,1.0,,38.0,17.0,29.0,3.0,6.0,5.0,,0.0,9.090361445783133,255.0,28.33,1.0,2.0,50%,1.0,10.0,,,,,,,,,1,0,6,0.0
Jeff Hendrick,16.0,Ireland,28.0,124.0,41,55,10.0,0.08,1.0,8.0,1.0,0.0,0.0,99.0,25.0,25%,0.0,7.0,,,91.0,55%,,38.0,80.0,93.0,45.0,,510.0,349.0,520.0,84.0,94.0,147.0,,0.0,6.0,3063.0,24.7,7.0,95.0,20%,10.0,134.0,,,,,,,,,19,1,97,34.0
Ryan Fraser,21.0,Scotland,26.0,121.0,34,59,16.0,0.13,0.0,13.0,3.0,0.0,1.0,132.0,61.0,46%,1.0,7.0,,,57.0,65%,,38.0,67.0,80.0,34.0,,413.0,364.0,360.0,66.0,31.0,97.0,,0.0,26.0,3469.0,28.67,41.0,711.0,23%,16.0,94.0,,,,,,,,,7,0,40,14.0
Henri Saivet,28.0,Senegal,29.0,5.0,3,2,1.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100%,0.0,0.0,,,18.0,67%,,0.0,9.0,10.0,3.0,,24.0,23.0,20.0,1.0,3.0,7.0,,1.0,9.090361445783133,106.0,21.2,0.0,2.0,2%,0.0,4.0,,,,,,,,,0,0,1,0.0
Daniel Barlaser,32.0,England,23.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Andy Carroll,7.0,England,31.0,232.0,81,92,53.0,0.23,24.0,6.0,23.0,2.0,1.0,534.0,172.0,32%,12.0,49.0,,,103.0,,,107.0,74.0,323.0,195.0,,,,,,,,,,22.0,4726.0,20.37,28.0,114.0,,,,,,,,,,,,33,2,321,77.0
Joelinton,9.0,Brazil,24.0,40.0,12,17,2.0,0.05,0.0,1.0,1.0,0.0,0.0,51.0,15.0,29%,1.0,8.0,,,36.0,,,13.0,11.0,31.0,20.0,,,,,,,,,,2.0,836.0,20.9,3.0,6.0,,,,,,,,,,,,7,0,32,22.0
Allan Saint-Maximin,10.0,France,23.0,28.0,11,9,3.0,0.11,1.0,2.0,0.0,0.0,0.0,47.0,21.0,45%,2.0,4.0,,,15.0,,,14.0,9.0,5.0,1.0,,,,,,,,,,4.0,458.0,16.36,8.0,46.0,,,,,,,,,,,,0,0,19,3.0
Dwight Gayle,12.0,England,29.0,119.0,28,64,25.0,0.21,2.0,16.0,7.0,2.0,2.0,160.0,59.0,37%,4.0,23.0,,,61.0,,,41.0,26.0,41.0,26.0,,,,,,,,,,6.0,1201.0,10.09,6.0,64.0,,,,,,,,,,,,8,1,77,34.0
Callum Wilson,13.0,England,28.0,128.0,39,60,42.0,0.33,7.0,26.0,7.0,5.0,0.0,226.0,91.0,40%,5.0,42.0,,,41.0,,,47.0,19.0,48.0,31.0,,,,,,,,,,12.0,1694.0,13.23,21.0,78.0,,,,,,,,,,,,13,0,177,94.0
Wes Foderingham,18.0,England,29.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Michael Verrips,21.0,Netherlands,23.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Simon Moore,25.0,England,30.0,2.0,0,1,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,6.0,,,,,,,,,,,,,,,0.0,1.0,9.090361445783133,44.0,22.0,,,,,10.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0,0,0,
Aaron Ramsdale,1.0,England,22.0,39.0,9,23,13.198738170347003,,,,,,,119.52452830188679,,,,,5.0,65.0,,,,,,,,,,,,,,,0.0,1.0,1.0,1000.0,25.64,,,,,220.0,132.0,1.0,17.0,21.0,6.0,13.0,188.0,312.0,0,0,0,
George Baldock,2.0,England,27.0,40.0,14,14,2.0,,0.0,2.0,0.0,,,119.52452830188679,,,0.0,,13.0,42.0,64.0,69%,0.0,4.0,36.0,70.0,36.0,0.0,177.0,192.0,182.0,42.0,41.0,60.0,0.0,1.0,3.0,1178.0,29.45,3.0,136.0,27%,0.0,22.0,,,,,,,,,7,0,52,11.0
Enda Stevens,3.0,Ireland,30.0,47.0,16,17,2.0,,1.0,0.0,1.0,,,119.52452830188679,,,0.0,,13.0,52.0,98.0,57%,0.0,7.0,48.0,96.0,35.0,0.0,253.0,228.0,219.0,67.0,39.0,38.0,0.0,2.0,4.0,1670.0,35.53,9.0,135.0,18%,2.0,82.0,,,,,,,,,8,0,46,2.0
Jack O'Connell,5.0,England,26.0,35.0,13,11,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,12.0,31.0,26.0,58%,1.0,3.0,44.0,151.0,80.0,0.0,192.0,190.0,124.0,9.0,140.0,76.0,0.0,1.0,1.0,1634.0,46.69,6.0,52.0,21%,1.0,129.0,,,,,,,,,4,0,22,3.0
Chris Basham,6.0,England,32.0,61.0,20,24,1.0,,0.0,1.0,0.0,,,119.52452830188679,,,0.0,,12.0,52.0,126.0,62%,0.0,0.0,93.0,215.0,117.0,0.0,246.0,324.0,191.0,30.0,129.0,77.0,0.0,1.0,3.0,1656.0,27.15,2.0,65.0,12%,0.0,97.0,,,,,,,,,5,0,39,5.0
John Egan,12.0,Ireland,27.0,38.0,14,13,2.0,,1.0,1.0,0.0,,,119.52452830188679,,,0.0,,12.0,32.0,46.0,61%,1.0,14.0,58.0,168.0,79.0,0.0,181.0,204.0,133.0,1.0,138.0,80.0,0.0,1.0,9.090361445783133,1340.0,35.26,1.0,3.0,3%,0.0,114.0,,,,,,,,,4,2,37,1.0
Jack Robinson,19.0,England,27.0,9.0,2,3,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,1.0,12.0,14.0,43%,0.0,0.0,10.0,28.0,7.0,0.0,37.0,35.0,21.0,3.0,14.0,10.0,0.0,0.0,9.090361445783133,291.0,32.33,0.0,7.0,14%,0.0,15.0,,,,,,,,,1,0,5,1.0
Kean Bryan,29.0,England,23.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Phil Jagielka,15.0,England,38.0,366.0,147,111,18.0,,10.0,8.0,0.0,,,119.52452830188679,,,7.0,,107.0,405.0,703.0,76%,24.0,39.0,618.0,2974.0,1075.0,10.0,1626.0,1842.0,928.0,35.0,783.0,495.0,6.0,6.0,9.0,14775.0,40.37,8.0,131.0,30%,11.0,1830.0,,,,,,,,,23,2,159,3.0
Max Lowe,13.0,England,23.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Ethan Ampadu,22.0,Wales,20.0,2.0,1,1,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,2.0,2.0,100%,0.0,0.0,0.0,9.0,6.0,0.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,9.090361445783133,28.0,14.0,0.0,0.0,0%,0.0,1.0,,,,,,,,,0,0,0,0.0
Jayden Bogle,20.0,England,20.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
John Fleck,4.0,Scotland,29.0,32.0,10,13,5.0,0.16,0.0,1.0,4.0,0.0,0.0,32.0,11.0,34%,1.0,2.0,,,39.0,72%,,12.0,26.0,22.0,8.0,,177.0,120.0,136.0,46.0,14.0,28.0,,0.0,2.0,1047.0,32.72,5.0,158.0,23%,3.0,38.0,,,,,,,,,8,0,27,1.0
John Lundstram,7.0,England,26.0,36.0,12,13,5.0,0.14,0.0,4.0,1.0,0.0,0.0,44.0,11.0,25%,1.0,5.0,,,47.0,66%,,10.0,34.0,44.0,23.0,,165.0,105.0,148.0,19.0,26.0,36.0,,0.0,3.0,1247.0,34.64,8.0,75.0,15%,3.0,90.0,,,,,,,,,6,0,30,7.0
Oliver Norwood,16.0,Northern Ireland,29.0,39.0,14,13,1.0,0.03,0.0,1.0,0.0,1.0,0.0,17.0,6.0,35%,0.0,0.0,,,66.0,56%,,5.0,49.0,40.0,20.0,,280.0,136.0,135.0,9.0,45.0,30.0,,0.0,1.0,2062.0,52.87,6.0,205.0,27%,1.0,239.0,,,,,,,,,8,0,32,1.0
Ben Osborn,23.0,England,26.0,14.0,8,3,13.198738170347003,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33%,0.0,0.0,,,15.0,67%,,1.0,6.0,6.0,2.0,,45.0,31.0,38.0,4.0,6.0,9.0,,0.0,9.090361445783133,244.0,17.43,1.0,18.0,22%,0.0,8.0,,,,,,,,,0,0,9,1.0
Sander Berge,8.0,Norway,22.0,16.0,6,7,1.0,0.06,0.0,1.0,0.0,0.0,0.0,7.0,2.0,29%,0.0,1.0,,,24.0,71%,,2.0,11.0,16.0,11.0,,62.0,85.0,53.0,16.0,38.0,18.0,,0.0,1.0,412.0,25.75,1.0,23.0,13%,0.0,14.0,,,,,,,,,0,0,19,1.0
Jack Rodwell,26.0,England,29.0,167.0,50,64,10.0,0.06,4.0,3.0,3.0,0.0,0.0,210.0,58.0,28%,2.0,13.0,,,212.0,78%,,63.0,113.0,227.0,79.0,,482.0,470.0,423.0,49.0,148.0,114.0,,2.0,4.0,3881.0,23.24,2.0,67.0,13%,11.0,271.0,,,,,,,,,26,1,135,7.0
Regan Slater,28.0,England,21.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Oliver Burke,14.0,Scotland,23.0,16.0,0,13,13.198738170347003,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4%,0.0,1.0,,,6.0,67%,,2.0,7.0,2.0,1.0,,15.0,34.0,51.0,13.0,8.0,16.0,,0.0,2.0,149.0,9.31,1.0,9.0,22%,1.0,3.0,,,,,,,,,0,0,5,0.0
Zak Brunt,42.0,England,18.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Oliver McBurnie,9.0,Scotland,24.0,54.0,17,25,6.0,0.11,2.0,4.0,0.0,0.0,0.0,60.0,31.0,52%,0.0,10.0,,,45.0,,,8.0,17.0,45.0,40.0,,,,,,,,,,1.0,785.0,14.54,3.0,15.0,,,,,,,,,,,,5,0,35,5.0
Billy Sharp,10.0,England,34.0,28.0,7,13,3.0,0.11,1.0,1.0,1.0,0.0,0.0,17.0,7.0,41%,1.0,6.0,,,7.0,,,3.0,1.0,3.0,3.0,,,,,,,,,,2.0,233.0,8.32,5.0,13.0,,,,,,,,,,,,1,1,20,14.0
David McGoldrick,17.0,Ireland,32.0,30.0,10,10,2.0,0.07,0.0,1.0,1.0,0.0,0.0,47.0,20.0,43%,0.0,15.0,,,41.0,,,9.0,3.0,24.0,18.0,,,,,,,,,,2.0,636.0,21.2,4.0,10.0,,,,,,,,,,,,2,0,33,12.0
Lys Mousset,11.0,France,24.0,88.0,31,38,9.0,0.1,1.0,6.0,2.0,0.0,0.0,81.0,24.0,30%,1.0,11.0,,,25.0,,,25.0,8.0,17.0,10.0,,,,,,,,,,4.0,585.0,6.65,9.0,19.0,,,,,,,,,,,,3,0,48,21.0
Alex McCarthy,1.0,England,30.0,96.0,26,43,13.198738170347003,,,,,,,119.52452830188679,,,,,17.0,151.0,,,,,,,,,,,,,,,0.0,8.0,9.090361445783133,2325.0,24.22,,,,,628.0,314.0,1.0,59.0,90.0,24.0,28.0,310.0,786.0,3,0,1,
Angus Gunn,28.0,England,24.0,22.0,6,10,13.198738170347003,,,,,,,119.52452830188679,,,,,5.0,43.0,,,,,,,,,,,,,,,0.0,3.0,9.090361445783133,520.0,23.64,,,,,117.0,63.0,1.0,5.0,6.0,4.0,12.0,44.0,168.0,0,0,0,
Fraser Forster,44.0,England,32.0,107.0,44,38,13.198738170347003,,,,,,,119.52452830188679,,,,,37.0,119.0,,,,,,,,,,,,,,,0.0,7.0,9.090361445783133,2515.0,23.5,,,,,773.0,259.0,2.0,31.0,81.0,26.0,21.0,295.0,802.0,4,0,0,
Harry Lewis,41.0,England,22.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Jannik Vestergaard,4.0,Denmark,28.0,43.0,14,20,1.0,,1.0,0.0,0.0,,,119.52452830188679,,,1.0,,8.0,57.0,74.0,64%,0.0,5.0,62.0,273.0,155.0,0.0,208.0,280.0,150.0,14.0,169.0,82.0,0.0,1.0,9.090361445783133,1709.0,39.74,3.0,2.0,50%,3.0,98.0,,,,,,,,,5,0,27,1.0
Jack Stephens,5.0,England,26.0,93.0,25,40,4.0,,2.0,1.0,1.0,,,119.52452830188679,,,1.0,,21.0,136.0,123.0,63%,3.0,4.0,136.0,396.0,204.0,0.0,513.0,381.0,324.0,37.0,185.0,183.0,0.0,1.0,4.0,3850.0,41.4,3.0,20.0,10%,5.0,237.0,,,,,,,,,16,2,55,3.0
Ryan Bertrand,3.0,England,31.0,231.0,83,95,7.0,,1.0,2.0,4.0,,,119.52452830188679,,,3.0,,59.0,299.0,338.0,68%,1.0,34.0,331.0,396.0,185.0,4.0,897.0,987.0,897.0,104.0,322.0,317.0,0.0,0.0,15.0,8783.0,38.02,29.0,817.0,21%,9.0,309.0,,,,,,,,,31,2,211,10.0
Jake Vokins,29.0,England,20.0,1.0,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,1.0,2.0,100%,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,58.0,58.0,0.0,1.0,1%,0.0,3.0,,,,,,,,,0,0,0,0.0
Jan Bednarek,35.0,Poland,24.0,66.0,22,29,2.0,,0.0,1.0,1.0,,,119.52452830188679,,,0.0,,11.0,105.0,113.0,58%,2.0,3.0,154.0,390.0,186.0,2.0,327.0,351.0,239.0,4.0,217.0,125.0,1.0,3.0,2.0,2655.0,40.23,2.0,2.0,2%,3.0,140.0,,,,,,,,,12,0,58,0.0
Yan Valery,18.0,France,21.0,34.0,11,15,2.0,,0.0,1.0,1.0,,,119.52452830188679,,,0.0,,3.0,49.0,62.0,69%,0.0,2.0,35.0,86.0,29.0,0.0,121.0,176.0,202.0,38.0,62.0,71.0,0.0,3.0,1.0,621.0,18.26,2.0,66.0,14%,1.0,20.0,,,,,,,,,4,1,34,5.0
Kyle Walker-Peters,2.0,England,23.0,24.0,13,6,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,5.0,26.0,41.0,66%,1.0,2.0,28.0,36.0,16.0,0.0,116.0,137.0,101.0,37.0,17.0,37.0,0.0,0.0,6.0,925.0,38.54,5.0,38.0,21%,0.0,22.0,,,,,,,,,3,0,14,3.0
Mohammed Salisu,22.0,Ghana,21.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Moussa Djenepo,12.0,Mali,22.0,20.0,7,11,2.0,0.1,0.0,2.0,0.0,0.0,0.0,22.0,8.0,36%,1.0,3.0,,,28.0,75%,,4.0,10.0,9.0,3.0,,52.0,117.0,102.0,49.0,6.0,19.0,,0.0,2.0,266.0,13.3,3.0,21.0,19%,1.0,5.0,,,,,,,,,4,1,26,3.0
Oriol Romeu,6.0,Spain,29.0,183.0,66,67,4.0,0.02,0.0,3.0,1.0,0.0,0.0,113.0,23.0,20%,1.0,3.0,,,471.0,69%,,38.0,328.0,254.0,104.0,,1118.0,1000.0,921.0,94.0,304.0,286.0,,0.0,9.090361445783133,7889.0,43.11,12.0,20.0,35%,9.0,434.0,,,,,,,,,49,0,253,5.0
James Ward-Prowse,8.0,England,25.0,233.0,80,89,22.0,0.09,0.0,18.0,4.0,4.0,6.0,249.0,102.0,41%,5.0,15.0,,,262.0,64%,,71.0,188.0,249.0,134.0,,914.0,613.0,874.0,49.0,182.0,303.0,,0.0,22.0,6946.0,29.81,36.0,1110.0,26%,17.0,294.0,,,,,,,,,28,1,193,5.0
Stuart Armstrong,17.0,Scotland,28.0,60.0,19,26,8.0,0.13,0.0,6.0,2.0,0.0,0.0,79.0,32.0,41%,0.0,4.0,,,61.0,64%,,23.0,23.0,34.0,13.0,,189.0,184.0,241.0,51.0,31.0,52.0,,0.0,5.0,1230.0,20.5,3.0,48.0,19%,2.0,34.0,,,,,,,,,6,0,47,7.0
